CH0,CH1,CH2,CH3,CH4,CH5,CH6
21.6906471252441,21.6184196472168,21.8034343719482,21.7054634094238,21.4680099487305,21.8358097076416,21.7849140167236
21.6906471252441,21.6202697753906,21.8015842437744,21.7017593383789,21.4680099487305,21.8256206512451,21.8170146942139
21.7008361816406,21.605447769165,21.8015842437744,21.7082405090332,21.4908561706543,21.8428974151611,21.8049755096436
21.6878643035889,21.6156368255615,21.7886180877686,21.6980533599854,21.4964160919189,21.8428974151611,21.8049755096436
21.9222030639648,21.6156368255615,21.8006610870361,21.7156543731689,21.4695434570313,21.8484573364258,21.8012676239014
21.982400894165,21.6045188903809,21.8071441650391,21.7156543731689,21.4695434570313,21.8364200592041,21.8012676239014
21.982400894165,21.606372833252,21.8071441650391,21.6971244812012,21.4964160919189,21.8475303649902,21.8207187652588
21.9879570007324,21.6091537475586,21.7941741943359,21.7008304595947,21.474178314209,21.8601818084717,21.825963973999
22.2537097930908,21.606372833252,21.7941741943359,21.7165775299072,21.4960956573486,21.8601818084717,21.825963973999
22.6434383392334,21.606372833252,21.8154773712158,21.7063884735107,21.509069442749,21.8364200592041,21.8077526092529
22.996021270752,21.605447769165,21.7904720306396,21.7063884735107,21.4936332702637,21.8401222229004,21.8077526092529
23.3392505645752,21.6091537475586,21.796028137207,21.7008304595947,21.463062286377,21.8385887145996,21.7886180877686
23.3392505645752,21.6137828826904,21.7904720306396,21.7156543731689,21.4578189849854,21.8348865509033,21.7941761016846
23.6666488647461,21.5998916625977,21.7904720306396,21.7175064086914,21.479736328125,21.8503131866455,21.8170146942139
23.9680728912354,21.5998916625977,21.796028137207,21.7026844024658,21.4732513427734,21.8234519958496,21.812385559082
24.2601718902588,21.606372833252,21.8006610870361,21.7026844024658,21.4778823852539,21.8299350738525,21.812385559082
24.5346355438232,21.6035976409912,21.7867679595947,21.7193546295166,21.4778823852539,21.8391952514648,21.8049755096436
24.5346355438232,21.6110057830811,21.7978820800781,21.7100944519043,21.4760303497314,21.8271560668945,21.812385559082
24.8071880340576,21.6137828826904,21.7978820800781,21.7175064086914,21.4778823852539,21.8271560668945,21.7938575744629
25.0769023895264,21.617488861084,21.7821350097656,21.7008304595947,21.474178314209,21.8401222229004,21.812385559082
25.3160781860352,21.617488861084,21.7969512939453,21.7119464874268,21.4751052856445,21.8410472869873,21.812385559082
25.5505867004395,21.617488861084,21.7876930236816,21.7119464874268,21.4596748352051,21.8219165802002,21.7951030731201
25.5505867004395,21.6156368255615,21.7941741943359,21.7128715515137,21.4624500274658,21.8145084381104,21.7895469665527
25.7905826568604,21.5952568054199,21.7941741943359,21.7017593383789,21.4550361633301,21.8367385864258,21.7923240661621
26.0102291107178,21.6110057830811,21.7978820800781,21.70361328125,21.4485549926758,21.8367385864258,21.7839889526367
26.225212097168,21.6110057830811,21.8062171936035,21.7110195159912,21.4825172424316,21.8428974151611,21.7938575744629
26.4115619659424,21.6082248687744,21.8015842437744,21.7110195159912,21.4825172424316,21.8410472869873,21.7938575744629
26.4115619659424,21.617488861084,21.8142280578613,21.7264461517334,21.4757118225098,21.8527698516846,21.8139190673828
26.6372165679932,21.6273574829102,21.8142280578613,21.7292232513428,21.4868316650391,21.8435115814209,21.8139190673828
26.830867767334,21.6236534118652,21.8114528656006,21.7171821594238,21.4710807800293,21.8435115814209,21.8287372589111
27.0180358886719,21.6236534118652,21.8160839080811,21.7208881378174,21.4831237792969,21.8481407165527,21.8352203369141
27.2088527679443,21.619945526123,21.8160839080811,21.7208881378174,21.4831237792969,21.8564777374268,21.8352203369141
27.2088527679443,21.6143894195557,21.8058967590332,21.7199592590332,21.4877586364746,21.8490657806396,21.8278141021729
27.3830490112305,21.6106834411621,21.8012619018555,21.7162551879883,21.4834442138672,21.8373432159424,21.7910823822021
27.5655136108398,21.6190204620361,21.8012619018555,21.7218132019043,21.460277557373,21.8373432159424,21.786449432373
27.7279949188232,21.6035976409912,21.799732208252,21.6924953460693,21.468620300293,21.8327140808105,21.8170146942139
27.8717098236084,21.5980377197266,21.7978820800781,21.6924953460693,21.4704723358154,21.8484573364258,21.8170146942139
28.0430374145508,21.6045188903809,21.7830619812012,21.7110195159912,21.4859066009521,21.8546257019043,21.8129901885986
28.0430374145508,21.5980377197266,21.7941741943359,21.7082405090332,21.4914646148682,21.8536987304688,21.8268852233887
28.1996002197266,21.6100788116455,21.7941741943359,21.7026844024658,21.4676914215088,21.8382701873779,21.8077526092529
28.3478546142578,21.6100788116455,21.7867679595947,21.7017593383789,21.468620300293,21.8364200592041,21.8021965026855
28.5080585479736,21.611930847168,21.7849159240723,21.7017593383789,21.4701557159424,21.8342475891113,21.8176212310791
28.6387805938721,21.606372833252,21.7802810668945,21.6962013244629,21.4701557159424,21.8648109436035,21.8185501098633
28.654109954834,21.6227264404297,21.8207149505615,21.7245922088623,21.4831237792969,21.8435115814209,21.8083648681641
28.7967796325684,21.6366195678711,21.8207149505615,21.7144031524658,21.4840526580811,21.8527698516846,21.8287372589111
28.9449501037598,21.6366195678711,21.8058967590332,21.7153301239014,21.4565715789795,21.8373432159424,21.8114566802979
29.0737781524658,21.629207611084,21.8151550292969,21.7227401733398,21.4649143218994,21.8456783294678,21.8114566802979
29.2071933746338,21.6347675323486,21.8151550292969,21.7227401733398,21.4649143218994,21.8428974151611,21.7975616455078
29.2071933746338,21.6264305114746,21.7929267883301,21.7255191802979,21.463062286377,21.8225250244141,21.7984886169434
29.3586654663086,21.6557483673096,21.8083477020264,21.7233409881592,21.4658393859863,21.8345680236816,21.7910823822021
29.4791660308838,21.6511192321777,21.8268756866455,21.7196350097656,21.4565715789795,21.8345680236816,21.7984886169434
29.5834178924561,21.6356925964355,21.7882976531982,21.7264461517334,21.4467010498047,21.8154335021973,21.7765769958496
29.7057323455811,21.6375465393066,21.8077487945557,21.7264461517334,21.4467010498047,21.8246955871582,21.7765769958496
29.7057323455811,21.6532936096191,21.8049659729004,21.7097721099854,21.4593544006348,21.8262310028076,21.8059005737305
29.8114814758301,21.6505146026611,21.8049659729004,21.7181053161621,21.4825172424316,21.8391952514648,21.8170146942139
29.9567546844482,21.6542186737061,21.8049659729004,21.7051410675049,21.48219871521,21.8546257019043,21.806510925293
30.0633945465088,21.6542186737061,21.7994117736816,21.7134780883789,21.4738597869873,21.8546257019043,21.8148441314697
30.1700267791748,21.6505146026611,21.8095989227295,21.7134780883789,21.4859066009521,21.8444347381592,21.8148441314697
30.1700267791748,21.6560726165771,21.7994117736816,21.7060680389404,21.4859066009521,21.8564777374268,21.806510925293
30.2931938171387,21.6551456451416,21.7994117736816,21.7116241455078,21.4920673370361,21.8663425445557,21.8330478668213
30.3933639526367,21.6532936096191,21.7984848022461,21.7227401733398,21.4865131378174,21.8663425445557,21.8274955749512
30.4953727722168,21.6532936096191,21.7938537597656,21.7227401733398,21.4803447723389,21.8499927520752,21.8055839538574
30.6001224517822,21.6671905517578,21.7957057952881,21.7227401733398,21.4729328155518,21.8499927520752,21.8055839538574
30.6001224517822,21.660701751709,21.7957057952881,21.7051410675049,21.4729328155518,21.8462886810303,21.8185501098633
30.7030258178711,21.6634864807129,21.8114528656006,21.6986560821533,21.48219871521,21.8407344818115,21.8241081237793
30.8013210296631,21.6773777008057,21.8114528656006,21.7079200744629,21.4840526580811,21.8407344818115,21.812068939209
30.8977756500244,21.6773777008057,21.7966327667236,21.7125511169434,21.4933166503906,21.8416576385498,21.8018798828125
31.0343112945557,21.6983585357666,21.811128616333,21.7279720306396,21.4896125793457,21.8601818084717,21.8018798828125
31.1178913116455,21.701135635376,21.8148345947266,21.7159328460693,21.4896125793457,21.86110496521,21.7990989685059
31.1331787109375,21.7202644348145,21.8348846435547,21.7433929443359,21.5180130004883,21.8617134094238,21.8423099517822
